total_bill,tip,sex,smoker,day,time,size,total_dollar,fraction
16.99,1.01,Female,No,Sun,Dinner,2,$16.99 ,0.059446733
10.34,1.66,Male,No,Sun,Dinner,3,$10.34 ,0.160541586
21.01,3.5,Male,No,Sun,Dinner,3,$21.01 ,0.166587339
23.68,3.31,Male,No,Sun,Dinner,2,$23.68 ,0.139780405
24.59,3.61,Female,No,Sun,Dinner,4,$24.59 ,0.146807645
25.29,4.71,Male,No,Sun,Dinner,4,$25.29 ,0.18623962
8.77,2,Male,No,Sun,Dinner,2,$8.77 ,0.228050171
26.88,3.12,Male,No,Sun,Dinner,4,$26.88 ,0.116071429
15.04,1.96,Male,No,Sun,Dinner,2,$15.04 ,0.130319149
14.78,3.23,Male,No,Sun,Dinner,2,$14.78 ,0.218538566
10.27,1.71,Male,No,Sun,Dinner,2,$10.27 ,0.166504382
35.26,5,Female,No,Sun,Dinner,4,$35.26 ,0.141803744
15.42,1.57,Male,No,Sun,Dinner,2,$15.42 ,0.101815824
18.43,3,Male,No,Sun,Dinner,4,$18.43 ,0.162778079
14.83,3.02,Female,No,Sun,Dinner,2,$14.83 ,0.203641268
21.58,3.92,Male,No,Sun,Dinner,2,$21.58 ,0.181649676
10.33,1.67,Female,No,Sun,Dinner,3,$10.33 ,0.161665053
16.29,3.71,Male,No,Sun,Dinner,3,$16.29 ,0.227747084
16.97,3.5,Female,No,Sun,Dinner,3,$16.97 ,0.206246317
20.65,3.35,Male,No,Sat,Dinner,3,$20.65 ,0.162227603
17.92,4.08,Male,No,Sat,Dinner,2,$17.92 ,0.227678571
20.29,2.75,Female,No,Sat,Dinner,2,$20.29 ,0.135534746
15.77,2.23,Female,No,Sat,Dinner,2,$15.77 ,0.141407736
39.42,7.58,Male,No,Sat,Dinner,4,$39.42 ,0.192288179
19.82,3.18,Male,No,Sat,Dinner,2,$19.82 ,0.160443996
17.81,2.34,Male,No,Sat,Dinner,4,$17.81 ,0.131386861
13.37,2,Male,No,Sat,Dinner,2,$13.37 ,0.149588631
12.69,2,Male,No,Sat,Dinner,2,$12.69 ,0.157604413
21.7,4.3,Male,No,Sat,Dinner,2,$21.70 ,0.198156682
19.65,3,Female,No,Sat,Dinner,2,$19.65 ,0.152671756
9.55,1.45,Male,No,Sat,Dinner,2,$9.55 ,0.151832461
18.35,2.5,Male,No,Sat,Dinner,4,$18.35 ,0.136239782
15.06,3,Female,No,Sat,Dinner,2,$15.06 ,0.199203187
20.69,2.45,Female,No,Sat,Dinner,4,$20.69 ,0.118414693
17.78,3.27,Male,No,Sat,Dinner,2,$17.78 ,0.183914511
24.06,3.6,Male,No,Sat,Dinner,3,$24.06 ,0.149625935
16.31,2,Male,No,Sat,Dinner,3,$16.31 ,0.122624157
16.93,3.07,Female,No,Sat,Dinner,3,$16.93 ,0.181334908
18.69,2.31,Male,No,Sat,Dinner,3,$18.69 ,0.123595506
31.27,5,Male,No,Sat,Dinner,3,$31.27 ,0.159897665
16.04,2.24,Male,No,Sat,Dinner,3,$16.04 ,0.139650873
17.46,2.54,Male,No,Sun,Dinner,2,$17.46 ,0.145475372
13.94,3.06,Male,No,Sun,Dinner,2,$13.94 ,0.219512195
9.68,1.32,Male,No,Sun,Dinner,2,$9.68 ,0.136363636
30.4,5.6,Male,No,Sun,Dinner,4,$30.40 ,0.184210526
18.29,3,Male,No,Sun,Dinner,2,$18.29 ,0.164024057
22.23,5,Male,No,Sun,Dinner,2,$22.23 ,0.224921278
32.4,6,Male,No,Sun,Dinner,4,$32.40 ,0.185185185
28.55,2.05,Male,No,Sun,Dinner,3,$28.55 ,0.071803853
18.04,3,Male,No,Sun,Dinner,2,$18.04 ,0.166297118
12.54,2.5,Male,No,Sun,Dinner,2,$12.54 ,0.199362041
10.29,2.6,Female,No,Sun,Dinner,2,$10.29 ,0.252672498
34.81,5.2,Female,No,Sun,Dinner,4,$34.81 ,0.149382361
9.94,1.56,Male,No,Sun,Dinner,2,$9.94 ,0.15694165
25.56,4.34,Male,No,Sun,Dinner,4,$25.56 ,0.169796557
19.49,3.51,Male,No,Sun,Dinner,2,$19.49 ,0.180092355
38.01,3,Male,Yes,Sat,Dinner,4,$38.01 ,0.078926598
26.41,1.5,Female,No,Sat,Dinner,2,$26.41 ,0.056796668
11.24,1.76,Male,Yes,Sat,Dinner,2,$11.24 ,0.15658363
48.27,6.73,Male,No,Sat,Dinner,4,$48.27 ,0.139424073
20.29,3.21,Male,Yes,Sat,Dinner,2,$20.29 ,0.158206013
13.81,2,Male,Yes,Sat,Dinner,2,$13.81 ,0.144822592
11.02,1.98,Male,Yes,Sat,Dinner,2,$11.02 ,0.179673321
18.29,3.76,Male,Yes,Sat,Dinner,4,$18.29 ,0.205576818
17.59,2.64,Male,No,Sat,Dinner,3,$17.59 ,0.150085276
20.08,3.15,Male,No,Sat,Dinner,3,$20.08 ,0.15687251
16.45,2.47,Female,No,Sat,Dinner,2,$16.45 ,0.150151976
3.07,1,Female,Yes,Sat,Dinner,1,$3.07 ,0.325732899
20.23,2.01,Male,No,Sat,Dinner,2,$20.23 ,0.09935739
15.01,2.09,Male,Yes,Sat,Dinner,2,$15.01 ,0.139240506
12.02,1.97,Male,No,Sat,Dinner,2,$12.02 ,0.163893511
17.07,3,Female,No,Sat,Dinner,3,$17.07 ,0.175746924
26.86,3.14,Female,Yes,Sat,Dinner,2,$26.86 ,0.116902457
25.28,5,Female,Yes,Sat,Dinner,2,$25.28 ,0.19778481
14.73,2.2,Female,No,Sat,Dinner,2,$14.73 ,0.149355058
10.51,1.25,Male,No,Sat,Dinner,2,$10.51 ,0.118934348
17.92,3.08,Male,Yes,Sat,Dinner,2,$17.92 ,0.171875
27.2,4,Male,No,Thur,Lunch,4,$27.20 ,0.147058824
22.76,3,Male,No,Thur,Lunch,2,$22.76 ,0.131810193
17.29,2.71,Male,No,Thur,Lunch,2,$17.29 ,0.156737999
19.44,3,Male,Yes,Thur,Lunch,2,$19.44 ,0.154320988
16.66,3.4,Male,No,Thur,Lunch,2,$16.66 ,0.204081633
10.07,1.83,Female,No,Thur,Lunch,1,$10.07 ,0.181727905
32.68,5,Male,Yes,Thur,Lunch,2,$32.68 ,0.152998776
15.98,2.03,Male,No,Thur,Lunch,2,$15.98 ,0.127033792
34.83,5.17,Female,No,Thur,Lunch,4,$34.83 ,0.148435257
13.03,2,Male,No,Thur,Lunch,2,$13.03 ,0.153491942
18.28,4,Male,No,Thur,Lunch,2,$18.28 ,0.218818381
24.71,5.85,Male,No,Thur,Lunch,2,$24.71 ,0.236746257
21.16,3,Male,No,Thur,Lunch,2,$21.16 ,0.141776938
28.97,3,Male,Yes,Fri,Dinner,2,$28.97 ,0.103555402
22.49,3.5,Male,No,Fri,Dinner,2,$22.49 ,0.155624722
5.75,1,Female,Yes,Fri,Dinner,2,$5.75 ,0.173913043
16.32,4.3,Female,Yes,Fri,Dinner,2,$16.32 ,0.263480392
22.75,3.25,Female,No,Fri,Dinner,2,$22.75 ,0.142857143
40.17,4.73,Male,Yes,Fri,Dinner,4,$40.17 ,0.117749564
27.28,4,Male,Yes,Fri,Dinner,2,$27.28 ,0.146627566
12.03,1.5,Male,Yes,Fri,Dinner,2,$12.03 ,0.124688279
21.01,3,Male,Yes,Fri,Dinner,2,$21.01 ,0.142789148
12.46,1.5,Male,No,Fri,Dinner,2,$12.46 ,0.120385233
11.35,2.5,Female,Yes,Fri,Dinner,2,$11.35 ,0.220264317
15.38,3,Female,Yes,Fri,Dinner,2,$15.38 ,0.195058518
44.3,2.5,Female,Yes,Sat,Dinner,3,$44.30 ,0.056433409
22.42,3.48,Female,Yes,Sat,Dinner,2,$22.42 ,0.155218555
20.92,4.08,Female,No,Sat,Dinner,2,$20.92 ,0.195028681
15.36,1.64,Male,Yes,Sat,Dinner,2,$15.36 ,0.106770833
20.49,4.06,Male,Yes,Sat,Dinner,2,$20.49 ,0.198145437
25.21,4.29,Male,Yes,Sat,Dinner,2,$25.21 ,0.170170567
18.24,3.76,Male,No,Sat,Dinner,2,$18.24 ,0.206140351
14.31,4,Female,Yes,Sat,Dinner,2,$14.31 ,0.279524808
14,3,Male,No,Sat,Dinner,2,$14.00 ,0.214285714
7.25,1,Female,No,Sat,Dinner,1,$7.25 ,0.137931034
38.07,4,Male,No,Sun,Dinner,3,$38.07 ,0.105069609
23.95,2.55,Male,No,Sun,Dinner,2,$23.95 ,0.106471816
25.71,4,Female,No,Sun,Dinner,3,$25.71 ,0.155581486
17.31,3.5,Female,No,Sun,Dinner,2,$17.31 ,0.202195263
29.93,5.07,Male,No,Sun,Dinner,4,$29.93 ,0.169395256
10.65,1.5,Female,No,Thur,Lunch,2,$10.65 ,0.14084507
12.43,1.8,Female,No,Thur,Lunch,2,$12.43 ,0.144810941
24.08,2.92,Female,No,Thur,Lunch,4,$24.08 ,0.121262458
11.69,2.31,Male,No,Thur,Lunch,2,$11.69 ,0.19760479
13.42,1.68,Female,No,Thur,Lunch,2,$13.42 ,0.125186289
14.26,2.5,Male,No,Thur,Lunch,2,$14.26 ,0.175315568
15.95,2,Male,No,Thur,Lunch,2,$15.95 ,0.12539185
12.48,2.52,Female,No,Thur,Lunch,2,$12.48 ,0.201923077
29.8,4.2,Female,No,Thur,Lunch,6,$29.80 ,0.140939597
8.52,1.48,Male,No,Thur,Lunch,2,$8.52 ,0.17370892
14.52,2,Female,No,Thur,Lunch,2,$14.52 ,0.137741047
11.38,2,Female,No,Thur,Lunch,2,$11.38 ,0.175746924
22.82,2.18,Male,No,Thur,Lunch,3,$22.82 ,0.095530237
19.08,1.5,Male,No,Thur,Lunch,2,$19.08 ,0.078616352
20.27,2.83,Female,No,Thur,Lunch,2,$20.27 ,0.139615195
11.17,1.5,Female,No,Thur,Lunch,2,$11.17 ,0.134288272
12.26,2,Female,No,Thur,Lunch,2,$12.26 ,0.163132137
18.26,3.25,Female,No,Thur,Lunch,2,$18.26 ,0.177984666
8.51,1.25,Female,No,Thur,Lunch,2,$8.51 ,0.146886016
10.33,2,Female,No,Thur,Lunch,2,$10.33 ,0.193610842
14.15,2,Female,No,Thur,Lunch,2,$14.15 ,0.141342756
16,2,Male,Yes,Thur,Lunch,2,$16.00 ,0.125
13.16,2.75,Female,No,Thur,Lunch,2,$13.16 ,0.208966565
17.47,3.5,Female,No,Thur,Lunch,2,$17.47 ,0.200343446
34.3,6.7,Male,No,Thur,Lunch,6,$34.30 ,0.195335277
41.19,5,Male,No,Thur,Lunch,5,$41.19 ,0.121388687
27.05,5,Female,No,Thur,Lunch,6,$27.05 ,0.184842884
16.43,2.3,Female,No,Thur,Lunch,2,$16.43 ,0.139987827
8.35,1.5,Female,No,Thur,Lunch,2,$8.35 ,0.179640719
18.64,1.36,Female,No,Thur,Lunch,3,$18.64 ,0.072961373
11.87,1.63,Female,No,Thur,Lunch,2,$11.87 ,0.137320977
9.78,1.73,Male,No,Thur,Lunch,2,$9.78 ,0.176891616
7.51,2,Male,No,Thur,Lunch,2,$7.51 ,0.266311585
14.07,2.5,Male,No,Sun,Dinner,2,$14.07 ,0.177683014
13.13,2,Male,No,Sun,Dinner,2,$13.13 ,0.152322925
17.26,2.74,Male,No,Sun,Dinner,3,$17.26 ,0.158748552
24.55,2,Male,No,Sun,Dinner,4,$24.55 ,0.081466395
19.77,2,Male,No,Sun,Dinner,4,$19.77 ,0.101163379
29.85,5.14,Female,No,Sun,Dinner,5,$29.85 ,0.172194305
48.17,5,Male,No,Sun,Dinner,6,$48.17 ,0.103799045
25,3.75,Female,No,Sun,Dinner,4,$25.00 ,0.15
13.39,2.61,Female,No,Sun,Dinner,2,$13.39 ,0.194921583
16.49,2,Male,No,Sun,Dinner,4,$16.49 ,0.121285628
21.5,3.5,Male,No,Sun,Dinner,4,$21.50 ,0.162790698
12.66,2.5,Male,No,Sun,Dinner,2,$12.66 ,0.197472354
16.21,2,Female,No,Sun,Dinner,3,$16.21 ,0.123380629
13.81,2,Male,No,Sun,Dinner,2,$13.81 ,0.144822592
17.51,3,Female,Yes,Sun,Dinner,2,$17.51 ,0.171330668
24.52,3.48,Male,No,Sun,Dinner,3,$24.52 ,0.141924959
20.76,2.24,Male,No,Sun,Dinner,2,$20.76 ,0.107899807
31.71,4.5,Male,No,Sun,Dinner,4,$31.71 ,0.141911069
10.59,1.61,Female,Yes,Sat,Dinner,2,$10.59 ,0.152030217
10.63,2,Female,Yes,Sat,Dinner,2,$10.63 ,0.188146754
50.81,10,Male,Yes,Sat,Dinner,3,$50.81 ,0.196811651
15.81,3.16,Male,Yes,Sat,Dinner,2,$15.81 ,0.199873498
7.25,5.15,Male,Yes,Sun,Dinner,2,$7.25 ,0.710344828
31.85,3.18,Male,Yes,Sun,Dinner,2,$31.85 ,0.099843014
16.82,4,Male,Yes,Sun,Dinner,2,$16.82 ,0.237812128
32.9,3.11,Male,Yes,Sun,Dinner,2,$32.90 ,0.094528875
17.89,2,Male,Yes,Sun,Dinner,2,$17.89 ,0.111794298
14.48,2,Male,Yes,Sun,Dinner,2,$14.48 ,0.138121547
9.6,4,Female,Yes,Sun,Dinner,2,$9.60 ,0.416666667
34.63,3.55,Male,Yes,Sun,Dinner,2,$34.63 ,0.102512273
34.65,3.68,Male,Yes,Sun,Dinner,4,$34.65 ,0.106204906
23.33,5.65,Male,Yes,Sun,Dinner,2,$23.33 ,0.242177454
45.35,3.5,Male,Yes,Sun,Dinner,3,$45.35 ,0.077177508
23.17,6.5,Male,Yes,Sun,Dinner,4,$23.17 ,0.280535175
40.55,3,Male,Yes,Sun,Dinner,2,$40.55 ,0.073982737
20.69,5,Male,No,Sun,Dinner,5,$20.69 ,0.241662639
20.9,3.5,Female,Yes,Sun,Dinner,3,$20.90 ,0.167464115
30.46,2,Male,Yes,Sun,Dinner,5,$30.46 ,0.065659882
18.15,3.5,Female,Yes,Sun,Dinner,3,$18.15 ,0.192837466
23.1,4,Male,Yes,Sun,Dinner,3,$23.10 ,0.173160173
15.69,1.5,Male,Yes,Sun,Dinner,2,$15.69 ,0.095602294
19.81,4.19,Female,Yes,Thur,Lunch,2,$19.81 ,0.211509339
28.44,2.56,Male,Yes,Thur,Lunch,2,$28.44 ,0.090014065
15.48,2.02,Male,Yes,Thur,Lunch,2,$15.48 ,0.130490956
16.58,4,Male,Yes,Thur,Lunch,2,$16.58 ,0.241254524
7.56,1.44,Male,No,Thur,Lunch,2,$7.56 ,0.19047619
10.34,2,Male,Yes,Thur,Lunch,2,$10.34 ,0.193423598
43.11,5,Female,Yes,Thur,Lunch,4,$43.11 ,0.115982371
13,2,Female,Yes,Thur,Lunch,2,$13.00 ,0.153846154
13.51,2,Male,Yes,Thur,Lunch,2,$13.51 ,0.14803849
18.71,4,Male,Yes,Thur,Lunch,3,$18.71 ,0.213789417
12.74,2.01,Female,Yes,Thur,Lunch,2,$12.74 ,0.157770801
13,2,Female,Yes,Thur,Lunch,2,$13.00 ,0.153846154
16.4,2.5,Female,Yes,Thur,Lunch,2,$16.40 ,0.152439024
20.53,4,Male,Yes,Thur,Lunch,4,$20.53 ,0.194836824
16.47,3.23,Female,Yes,Thur,Lunch,3,$16.47 ,0.196114147
26.59,3.41,Male,Yes,Sat,Dinner,3,$26.59 ,0.128243701
38.73,3,Male,Yes,Sat,Dinner,4,$38.73 ,0.077459334
24.27,2.03,Male,Yes,Sat,Dinner,2,$24.27 ,0.083642357
12.76,2.23,Female,Yes,Sat,Dinner,2,$12.76 ,0.17476489
30.06,2,Male,Yes,Sat,Dinner,3,$30.06 ,0.066533599
25.89,5.16,Male,Yes,Sat,Dinner,4,$25.89 ,0.199304751
48.33,9,Male,No,Sat,Dinner,4,$48.33 ,0.186219739
13.27,2.5,Female,Yes,Sat,Dinner,2,$13.27 ,0.188394876
28.17,6.5,Female,Yes,Sat,Dinner,3,$28.17 ,0.230741924
12.9,1.1,Female,Yes,Sat,Dinner,2,$12.90 ,0.085271318
28.15,3,Male,Yes,Sat,Dinner,5,$28.15 ,0.106571936
11.59,1.5,Male,Yes,Sat,Dinner,2,$11.59 ,0.129421915
7.74,1.44,Male,Yes,Sat,Dinner,2,$7.74 ,0.186046512
30.14,3.09,Female,Yes,Sat,Dinner,4,$30.14 ,0.102521566
12.16,2.2,Male,Yes,Fri,Lunch,2,$12.16 ,0.180921053
13.42,3.48,Female,Yes,Fri,Lunch,2,$13.42 ,0.259314456
8.58,1.92,Male,Yes,Fri,Lunch,1,$8.58 ,0.223776224
15.98,3,Female,No,Fri,Lunch,3,$15.98 ,0.187734668
13.42,1.58,Male,Yes,Fri,Lunch,2,$13.42 ,0.117734724
16.27,2.5,Female,Yes,Fri,Lunch,2,$16.27 ,0.153657037
10.09,2,Female,Yes,Fri,Lunch,2,$10.09 ,0.198216056
20.45,3,Male,No,Sat,Dinner,4,$20.45 ,0.146699267
13.28,2.72,Male,No,Sat,Dinner,2,$13.28 ,0.204819277
22.12,2.88,Female,Yes,Sat,Dinner,2,$22.12 ,0.130198915
24.01,2,Male,Yes,Sat,Dinner,4,$24.01 ,0.083298626
15.69,3,Male,Yes,Sat,Dinner,3,$15.69 ,0.191204589
11.61,3.39,Male,No,Sat,Dinner,2,$11.61 ,0.291989664
10.77,1.47,Male,No,Sat,Dinner,2,$10.77 ,0.136490251
15.53,3,Male,Yes,Sat,Dinner,2,$15.53 ,0.193174501
10.07,1.25,Male,No,Sat,Dinner,2,$10.07 ,0.124131082
12.6,1,Male,Yes,Sat,Dinner,2,$12.60 ,0.079365079
32.83,1.17,Male,Yes,Sat,Dinner,2,$32.83 ,0.035638136
35.83,4.67,Female,No,Sat,Dinner,3,$35.83 ,0.130337706
29.03,5.92,Male,No,Sat,Dinner,3,$29.03 ,0.203926972
27.18,2,Female,Yes,Sat,Dinner,2,$27.18 ,0.073583517
22.67,2,Male,Yes,Sat,Dinner,2,$22.67 ,0.08822232
17.82,1.75,Male,No,Sat,Dinner,2,$17.82 ,0.098204265
18.78,3,Female,No,Thur,Dinner,2,$18.78 ,0.159744409
