Temperature,DewPoint,Pressure,Date
78.7,60,1,20100427 13:00
80,59.9,1,20100427 14:00
80.7,59.8,1,20100427 15:00
80.8,59.5,1,20100427 16:00
80.4,59.5,1,20100427 17:00
78.9,59.1,1,20100427 18:00
75.8,59.8,1,20100427 19:00
72.5,60.2,1,20100427 20:00
70.5,60.2,1,20100427 21:00
69,60.3,1,20100427 22:00
67.8,60.5,1,20100427 23:00
67,60.2,1,20100428 00:00
65.8,60.3,1,20100428 01:00
65.1,60,1,20100428 02:00
64.6,59.8,1,20100428 03:00
64.2,59.7,1,20100428 04:00
63.8,59.5,1,20100428 05:00
63.7,59,1,20100428 06:00
64.9,60.1,1,20100428 07:00
67.5,60.6,1,20100428 08:00
70.5,60.8,1,20100428 09:00
73,60.7,1,20100428 10:00
75.3,60.5,1,20100428 11:00
77.3,60.1,1,20100428 12:00
79,60.4,1,20100428 13:00
80.3,60.3,1,20100428 14:00
81,60.1,1,20100428 15:00
81,59.9,1,20100428 16:00
80.7,59.8,1,20100428 17:00
79.2,59.4,1,20100428 18:00
76,60,1,20100428 19:00
72.8,60.4,1,20100428 20:00
70.8,60.6,1,20100428 21:00
69.3,60.6,1,20100428 22:00
68.1,60.8,1,20100428 23:00
67.2,60.5,1,20100429 00:00
66,60.6,1,20100429 01:00
65.3,60.3,1,20100429 02:00
64.8,60.1,1,20100429 03:00
64.4,60.1,1,20100429 04:00
64.1,59.9,1,20100429 05:00
64,59.4,1,20100429 06:00
65.1,60.4,1,20100429 07:00
67.7,60.9,1,20100429 08:00
70.7,61.1,1,20100429 09:00
73.2,61,1,20100429 10:00
75.5,60.9,1,20100429 11:00
77.6,60.4,1,20100429 12:00
79.2,60.7,1,20100429 13:00
80.5,60.6,1,20100429 14:00
81.3,60.4,1,20100429 15:00
81.3,60.2,1,20100429 16:00
81,60,1,20100429 17:00
79.4,59.6,1,20100429 18:00
76.3,60.3,1,20100429 19:00
73.1,60.7,1,20100429 20:00
71.1,60.8,1,20100429 21:00
69.5,60.8,1,20100429 22:00
68.3,61,1,20100429 23:00
67.4,60.7,1,20100430 00:00
66.2,60.9,1,20100430 01:00
65.5,60.5,1,20100430 02:00
64.9,60.3,1,20100430 03:00
64.6,60.3,1,20100430 04:00
64.3,60.1,1,20100430 05:00
64.1,59.6,1,20100430 06:00
65.4,60.7,1,20100430 07:00
68,61.2,1,20100430 08:00
70.9,61.4,1,20100430 09:00
73.4,61.3,1,20100430 10:00
75.8,61.2,1,20100430 11:00
77.8,60.7,1,20100430 12:00
79.4,61,1,20100430 13:00
80.7,60.9,1,20100430 14:00
81.6,60.8,1,20100430 15:00
81.7,60.5,1,20100430 16:00
81.3,60.3,1,20100430 17:00
79.7,59.8,1,20100430 18:00
76.5,60.5,1,20100430 19:00
73.3,60.9,1,20100430 20:00
71.3,61,1,20100430 21:00
69.7,61,1,20100430 22:00
68.5,61.3,1,20100430 23:00
67.6,60.9,1,20100501 00:00
66.4,61,1,20100501 01:00
65.6,60.6,1,20100501 02:00
65,60.4,1,20100501 03:00
64.7,60.4,1,20100501 04:00
64.4,60.2,1,20100501 05:00
64.2,59.7,1,20100501 06:00
65.5,60.9,1,20100501 07:00
68.1,61.4,1,20100501 08:00
71.1,61.6,1,20100501 09:00
73.6,61.5,1,20100501 10:00
75.9,61.4,1,20100501 11:00
77.9,61,1,20100501 12:00
79.5,61.2,1,20100501 13:00
80.9,61.2,1,20100501 14:00
81.6,61.1,1,20100501 15:00
81.8,60.9,1,20100501 16:00
81.4,60.6,1,20100501 17:00
79.7,60.2,1,20100501 18:00
76.6,60.9,1,20100501 19:00
73.4,61.2,1,20100501 20:00
71.4,61.3,1,20100501 21:00
69.9,61.3,1,20100501 22:00
68.6,61.5,1,20100501 23:00
67.8,61.2,1,20100502 00:00
66.6,61.2,1,20100502 01:00
65.8,60.9,1,20100502 02:00
65.3,60.7,1,20100502 03:00
65,60.7,1,20100502 04:00
64.6,60.5,1,20100502 05:00
64.5,60,1,20100502 06:00
65.8,61.2,1,20100502 07:00
68.4,61.7,1,20100502 08:00
71.3,61.9,1,20100502 09:00
73.8,61.9,1,20100502 10:00
76.2,61.8,1,20100502 11:00
78.2,61.5,1,20100502 12:00
79.8,61.8,1,20100502 13:00
81.2,61.8,1,20100502 14:00
82,61.6,1,20100502 15:00
82.1,61.4,1,20100502 16:00
81.7,61.1,1,20100502 17:00
80,60.7,1,20100502 18:00
76.9,61.4,1,20100502 19:00
73.7,61.6,1,20100502 20:00
71.8,61.7,1,20100502 21:00
70.2,61.6,1,20100502 22:00
68.9,61.8,1,20100502 23:00
68.1,61.4,1,20100503 00:00
66.9,61.5,1,20100503 01:00
66.1,61.1,1,20100503 02:00
65.5,60.9,1,20100503 03:00
65.2,61,1,20100503 04:00
64.9,60.8,1,20100503 05:00
64.9,60.5,1,20100503 06:00
66.2,61.6,1,20100503 07:00
68.7,62.1,1,20100503 08:00
71.5,62.2,1,20100503 09:00
74,62.3,1,20100503 10:00
76.3,62.2,1,20100503 11:00
78.4,61.9,1,20100503 12:00
80,62.1,1,20100503 13:00
81.4,62,1,20100503 14:00
82.2,61.9,1,20100503 15:00
82.2,61.7,1,20100503 16:00
81.9,61.5,1,20100503 17:00
80.3,61.1,1,20100503 18:00
77.2,61.7,1,20100503 19:00
74.1,61.9,1,20100503 20:00
72.1,62.1,1,20100503 21:00
70.6,62,1,20100503 22:00
69.2,62.1,1,20100503 23:00
68.4,61.7,1,20100504 00:00
67.2,61.8,1,20100504 01:00
66.4,61.4,1,20100504 02:00
65.9,61.2,1,20100504 03:00
65.6,61.3,1,20100504 04:00
65.2,61.2,1,20100504 05:00
65.2,60.8,1,20100504 06:00
66.5,61.9,1,20100504 07:00
69,62.4,1,20100504 08:00
71.8,62.5,1,20100504 09:00
74.3,62.5,1,20100504 10:00
76.6,62.4,1,20100504 11:00
78.6,62.1,1,20100504 12:00
80.1,62.3,1,20100504 13:00
81.5,62.3,1,20100504 14:00
82.3,62.2,1,20100504 15:00
82.3,62,1,20100504 16:00
81.9,61.8,1,20100504 17:00
80.3,61.4,1,20100504 18:00
77.3,62,1,20100504 19:00
74.2,62.2,1,20100504 20:00
72.3,62.3,1,20100504 21:00
70.8,62.2,1,20100504 22:00
69.5,62.4,1,20100504 23:00
68.8,62,1,20100505 00:00
67.6,62.2,1,20100505 01:00
66.8,61.8,1,20100505 02:00
66.3,61.6,1,20100505 03:00
66,61.7,1,20100505 04:00
65.7,61.6,1,20100505 05:00
65.7,61.3,1,20100505 06:00
66.9,62.5,1,20100505 07:00
69.4,62.9,1,20100505 08:00
72.1,63,1,20100505 09:00
74.6,63,1,20100505 10:00
76.9,62.9,1,20100505 11:00
78.8,62.7,1,20100505 12:00
80.4,62.9,1,20100505 13:00
81.8,62.8,1,20100505 14:00
82.5,62.6,1,20100505 15:00
82.5,62.5,1,20100505 16:00
82.1,62.4,1,20100505 17:00
80.5,61.9,1,20100505 18:00
77.6,62.6,1,20100505 19:00
74.6,62.7,1,20100505 20:00
72.7,62.8,1,20100505 21:00
71,62.7,1,20100505 22:00
69.8,62.9,1,20100505 23:00
69.1,62.5,1,20100506 00:00
67.9,62.6,1,20100506 01:00
67.1,62.3,1,20100506 02:00
66.7,62.1,1,20100506 03:00
66.4,62.2,1,20100506 04:00
66.1,62,1,20100506 05:00
66.2,61.8,1,20100506 06:00
67.3,62.8,1,20100506 07:00
69.7,63.2,1,20100506 08:00
72.5,63.4,1,20100506 09:00
74.9,63.4,1,20100506 10:00
77.1,63.3,1,20100506 11:00
79.1,63.1,1,20100506 12:00
80.6,63.2,1,20100506 13:00
81.9,63.1,1,20100506 14:00
82.7,62.9,1,20100506 15:00
82.6,62.7,1,20100506 16:00
82.2,62.6,1,20100506 17:00
80.6,62.2,1,20100506 18:00
77.7,62.8,1,20100506 19:00
74.7,62.9,1,20100506 20:00
72.8,63,1,20100506 21:00
71.2,62.9,1,20100506 22:00
70,63.1,1,20100506 23:00
69.2,62.7,1,20100507 00:00
68.1,62.8,1,20100507 01:00
67.3,62.5,1,20100507 02:00
66.8,62.3,1,20100507 03:00
66.6,62.4,1,20100507 04:00
66.3,62.2,1,20100507 05:00
66.4,62,1,20100507 06:00
67.5,62.9,1,20100507 07:00
69.9,63.4,1,20100507 08:00
72.6,63.5,1,20100507 09:00
75.1,63.6,1,20100507 10:00
77.3,63.5,1,20100507 11:00
79.2,63.3,1,20100507 12:00
80.7,63.3,1,20100507 13:00
82,63.2,1,20100507 14:00
82.8,63,1,20100507 15:00
82.6,62.9,1,20100507 16:00
82.3,62.8,1,20100507 17:00
80.6,62.4,1,20100507 18:00
77.7,63,1,20100507 19:00
74.8,63.2,1,20100507 20:00
72.9,63.3,1,20100507 21:00
71.3,63.1,1,20100507 22:00
70.1,63.3,1,20100507 23:00
69.3,62.9,1,20100508 00:00
68.2,63,1,20100508 01:00
67.4,62.7,1,20100508 02:00
67,62.5,1,20100508 03:00
66.6,62.5,1,20100508 04:00
66.4,62.3,1,20100508 05:00
66.5,62.1,1,20100508 06:00
67.7,63.1,1,20100508 07:00
70.2,63.6,1,20100508 08:00
72.9,63.7,1,20100508 09:00
75.3,63.7,1,20100508 10:00
77.5,63.6,1,20100508 11:00
79.5,63.4,1,20100508 12:00
81,63.5,1,20100508 13:00
82.3,63.4,1,20100508 14:00
83,63.2,1,20100508 15:00
82.9,63.1,1,20100508 16:00
82.4,63,1,20100508 17:00
80.7,62.6,1,20100508 18:00
77.9,63.2,1,20100508 19:00
75,63.4,1,20100508 20:00
73.1,63.5,1,20100508 21:00
71.5,63.4,1,20100508 22:00
70.2,63.5,1,20100508 23:00
69.5,63.2,1,20100509 00:00
68.4,63.3,1,20100509 01:00
67.6,62.9,1,20100509 02:00
67.2,62.8,1,20100509 03:00
66.9,62.8,1,20100509 04:00
66.7,62.7,1,20100509 05:00
66.8,62.5,1,20100509 06:00
68,63.4,1,20100509 07:00
70.5,64,1,20100509 08:00
73.3,64,1,20100509 09:00
75.7,64.1,1,20100509 10:00
77.9,63.9,1,20100509 11:00
79.8,63.7,1,20100509 12:00
81.2,63.8,1,20100509 13:00
82.4,63.7,1,20100509 14:00
83.1,63.5,1,20100509 15:00
83,63.4,1,20100509 16:00
82.5,63.2,1,20100509 17:00
80.8,62.8,1,20100509 18:00
78,63.4,1,20100509 19:00
75.1,63.6,1,20100509 20:00
73.1,63.7,1,20100509 21:00
71.6,63.6,1,20100509 22:00
70.3,63.7,1,20100509 23:00
69.7,63.3,1,20100510 00:00
68.5,63.5,1,20100510 01:00
67.7,63.1,1,20100510 02:00
67.3,63,1,20100510 03:00
67,63,1,20100510 04:00
66.7,62.8,1,20100510 05:00
66.9,62.6,1,20100510 06:00
68.2,63.6,1,20100510 07:00
70.8,64.2,1,20100510 08:00
73.5,64.2,1,20100510 09:00
75.9,64.2,1,20100510 10:00
78.1,64.1,1,20100510 11:00
80,63.8,1,20100510 12:00
81.4,63.9,1,20100510 13:00
82.6,63.8,1,20100510 14:00
83.3,63.7,1,20100510 15:00
83.3,63.6,1,20100510 16:00
82.7,63.4,1,20100510 17:00
81.1,63,1,20100510 18:00
78.2,63.6,1,20100510 19:00
75.4,63.8,1,20100510 20:00
73.4,64,1,20100510 21:00
71.7,63.7,1,20100510 22:00
70.3,63.8,1,20100510 23:00
69.8,63.5,1,20100511 00:00
68.6,63.6,1,20100511 01:00
67.8,63.3,1,20100511 02:00
67.4,63.1,1,20100511 03:00
67.1,63.1,1,20100511 04:00
66.9,63,1,20100511 05:00
67.1,62.8,1,20100511 06:00
68.4,63.9,1,20100511 07:00
71,64.5,1,20100511 08:00
73.8,64.5,1,20100511 09:00
76.3,64.5,1,20100511 10:00
78.4,64.4,1,20100511 11:00
80.2,64,1,20100511 12:00
81.7,64.1,1,20100511 13:00
82.7,64,1,20100511 14:00
83.5,63.8,1,20100511 15:00
83.5,63.8,1,20100511 16:00
82.9,63.5,1,20100511 17:00
81.3,63.1,1,20100511 18:00
78.4,63.7,1,20100511 19:00
75.4,63.9,1,20100511 20:00
73.4,64,1,20100511 21:00
71.8,63.9,1,20100511 22:00
70.4,63.9,1,20100511 23:00
70,63.6,1,20100512 00:00
68.8,63.8,1,20100512 01:00
68,63.5,1,20100512 02:00
67.6,63.3,1,20100512 03:00
67.3,63.4,1,20100512 04:00
67,63.2,1,20100512 05:00
67.2,63,1,20100512 06:00
68.5,64.1,1,20100512 07:00
71.2,64.7,1,20100512 08:00
74,64.6,1,20100512 09:00
76.5,64.5,1,20100512 10:00
78.5,64.3,1,20100512 11:00
80.4,63.9,1,20100512 12:00
81.8,64,1,20100512 13:00
82.9,63.9,1,20100512 14:00
83.6,63.7,1,20100512 15:00
83.6,63.6,1,20100512 16:00
83,63.3,1,20100512 17:00
81.4,63,1,20100512 18:00
78.5,63.5,1,20100512 19:00
75.5,63.8,1,20100512 20:00
73.5,64,1,20100512 21:00
71.8,63.9,1,20100512 22:00
70.5,64,1,20100512 23:00
70.1,63.7,1,20100513 00:00
68.9,64,1,20100513 01:00
68.1,63.7,1,20100513 02:00
67.8,63.5,1,20100513 03:00
67.5,63.5,1,20100513 04:00
67.1,63.3,1,20100513 05:00
67.3,63.2,1,20100513 06:00
68.7,64.2,1,20100513 07:00
71.3,64.7,1,20100513 08:00
74.1,64.6,1,20100513 09:00
76.6,64.5,1,20100513 10:00
78.6,64.3,1,20100513 11:00
80.5,63.9,1,20100513 12:00
81.9,64,1,20100513 13:00
83,63.9,1,20100513 14:00
83.8,63.8,1,20100513 15:00
83.7,63.7,1,20100513 16:00
83.1,63.5,1,20100513 17:00
81.5,63.1,1,20100513 18:00
78.7,63.7,1,20100513 19:00
75.6,63.9,1,20100513 20:00
73.6,64.1,1,20100513 21:00
71.9,64.1,1,20100513 22:00
70.6,64.1,1,20100513 23:00
70.2,63.8,1,20100514 00:00
68.9,64.1,1,20100514 01:00
68.2,63.8,1,20100514 02:00
67.8,63.6,1,20100514 03:00
67.5,63.6,1,20100514 04:00
67.1,63.4,1,20100514 05:00
67.4,63.3,1,20100514 06:00
68.8,64.3,1,20100514 07:00
71.4,64.8,1,20100514 08:00
74.2,64.7,1,20100514 09:00
76.7,64.6,1,20100514 10:00
78.8,64.4,1,20100514 11:00
80.6,64,1,20100514 12:00
82,64.1,1,20100514 13:00
83,63.9,1,20100514 14:00
83.8,63.8,1,20100514 15:00
83.7,63.8,1,20100514 16:00
83.2,63.6,1,20100514 17:00
81.6,63.3,1,20100514 18:00
78.8,63.8,1,20100514 19:00
75.8,64.1,1,20100514 20:00
73.8,64.2,1,20100514 21:00
72.1,64.2,1,20100514 22:00
70.7,64.2,1,20100514 23:00
70.4,63.9,1,20100515 00:00
69.1,64.2,1,20100515 01:00
68.3,63.9,1,20100515 02:00
67.9,63.7,1,20100515 03:00
67.6,63.7,1,20100515 04:00
67.2,63.5,1,20100515 05:00
67.5,63.4,1,20100515 06:00
68.9,64.3,1,20100515 07:00
71.5,64.9,1,20100515 08:00
74.3,64.8,1,20100515 09:00
76.8,64.7,1,20100515 10:00
79,64.5,1,20100515 11:00
80.8,64.1,1,20100515 12:00
82.1,64.1,1,20100515 13:00
83.2,64,1,20100515 14:00
83.9,63.9,1,20100515 15:00
83.9,63.9,1,20100515 16:00
83.3,63.7,1,20100515 17:00
81.7,63.4,1,20100515 18:00
79,64,1,20100515 19:00
75.9,64.3,1,20100515 20:00
73.9,64.4,1,20100515 21:00
72.2,64.5,1,20100515 22:00
70.9,64.5,1,20100515 23:00
70.5,64.2,1,20100516 00:00
69.2,64.5,1,20100516 01:00
68.5,64.2,1,20100516 02:00
68.1,64,1,20100516 03:00
67.8,64,1,20100516 04:00
67.4,63.8,1,20100516 05:00
67.7,63.7,1,20100516 06:00
69.1,64.6,1,20100516 07:00
71.7,65.1,1,20100516 08:00
74.6,65.1,1,20100516 09:00
77.1,64.9,1,20100516 10:00
79.3,64.7,1,20100516 11:00
81,64.3,1,20100516 12:00
82.4,64.3,1,20100516 13:00
83.4,64.2,1,20100516 14:00
84.2,64.1,1,20100516 15:00
84.2,64.1,1,20100516 16:00
83.6,64,1,20100516 17:00
82.1,63.7,1,20100516 18:00
79.3,64.3,1,20100516 19:00
76.3,64.6,1,20100516 20:00
74.2,64.7,1,20100516 21:00
72.5,64.7,1,20100516 22:00
71.2,64.7,1,20100516 23:00
70.7,64.4,1,20100517 00:00
69.5,64.8,1,20100517 01:00
68.7,64.5,1,20100517 02:00
68.3,64.3,1,20100517 03:00
68,64.3,1,20100517 04:00
67.7,64,1,20100517 05:00
68,63.9,1,20100517 06:00
69.3,64.8,1,20100517 07:00
71.9,65.3,1,20100517 08:00
74.8,65.3,1,20100517 09:00
77.3,65.2,1,20100517 10:00
79.4,64.9,1,20100517 11:00
81.1,64.5,1,20100517 12:00
82.6,64.6,1,20100517 13:00
83.6,64.4,1,20100517 14:00
84.4,64.3,1,20100517 15:00
84.4,64.2,1,20100517 16:00
83.9,64.2,1,20100517 17:00
82.3,63.9,1,20100517 18:00
79.5,64.5,1,20100517 19:00
76.4,64.7,1,20100517 20:00
74.3,64.9,1,20100517 21:00
72.7,65,1,20100517 22:00
71.3,65,1,20100517 23:00
70.8,64.7,1,20100518 00:00
69.6,65.1,1,20100518 01:00
69,64.8,1,20100518 02:00
68.6,64.6,1,20100518 03:00
68.2,64.6,1,20100518 04:00
67.9,64.3,1,20100518 05:00
68.1,64.2,1,20100518 06:00
69.5,65.1,1,20100518 07:00
72.2,65.6,1,20100518 08:00
75.1,65.6,1,20100518 09:00
77.6,65.4,1,20100518 10:00
79.7,65.1,1,20100518 11:00
81.4,64.7,1,20100518 12:00
82.8,64.8,1,20100518 13:00
83.9,64.7,1,20100518 14:00
84.6,64.5,1,20100518 15:00
84.7,64.5,1,20100518 16:00
84.1,64.4,1,20100518 17:00
82.5,64.1,1,20100518 18:00
79.8,64.7,1,20100518 19:00
76.7,65,1,20100518 20:00
74.6,65.1,1,20100518 21:00
72.9,65.2,1,20100518 22:00
71.6,65.2,1,20100518 23:00
71.1,65,1,20100519 00:00
69.9,65.4,1,20100519 01:00
69.3,65.2,1,20100519 02:00
68.8,65,1,20100519 03:00
68.5,64.9,1,20100519 04:00
68.2,64.7,1,20100519 05:00
68.4,64.5,1,20100519 06:00
69.8,65.4,1,20100519 07:00
72.4,65.9,1,20100519 08:00
75.3,65.9,1,20100519 09:00
77.7,65.7,1,20100519 10:00
79.9,65.5,1,20100519 11:00
81.6,65.1,1,20100519 12:00
83,65.1,1,20100519 13:00
84.1,65,1,20100519 14:00
84.9,64.8,1,20100519 15:00
85,64.7,1,20100519 16:00
84.5,64.5,1,20100519 17:00
82.8,64.4,1,20100519 18:00
80.1,64.9,1,20100519 19:00
77,65.2,1,20100519 20:00
74.9,65.3,1,20100519 21:00
73.2,65.4,1,20100519 22:00
71.9,65.4,1,20100519 23:00
71.3,65.2,1,20100520 00:00
70.1,65.5,1,20100520 01:00
69.4,65.3,1,20100520 02:00
69,65.2,1,20100520 03:00
68.7,65.1,1,20100520 04:00
68.3,64.8,1,20100520 05:00
68.6,64.7,1,20100520 06:00
69.9,65.6,1,20100520 07:00
72.6,66.1,1,20100520 08:00
75.4,66.1,1,20100520 09:00
77.9,65.9,1,20100520 10:00
80,65.6,1,20100520 11:00
81.8,65.2,1,20100520 12:00
83.3,65.2,1,20100520 13:00
84.3,65.1,1,20100520 14:00
85.1,64.9,1,20100520 15:00
85.2,64.9,1,20100520 16:00
84.7,64.6,1,20100520 17:00
83,64.5,1,20100520 18:00
80.3,65,1,20100520 19:00
77.2,65.3,1,20100520 20:00
75,65.3,1,20100520 21:00
73.3,65.5,1,20100520 22:00
72,65.5,1,20100520 23:00
71.4,65.3,1,20100521 00:00
70.2,65.6,1,20100521 01:00
69.6,65.5,1,20100521 02:00
69.1,65.3,1,20100521 03:00
68.8,65.2,1,20100521 04:00
68.4,64.9,1,20100521 05:00
68.6,64.8,1,20100521 06:00
70,65.7,1,20100521 07:00
72.7,66.2,1,20100521 08:00
75.5,66.2,1,20100521 09:00
78,66,1,20100521 10:00
80.1,65.7,1,20100521 11:00
81.9,65.2,1,20100521 12:00
83.4,65.3,1,20100521 13:00
84.5,65.2,1,20100521 14:00
85.2,65.1,1,20100521 15:00
85.4,64.9,1,20100521 16:00
84.9,64.7,1,20100521 17:00
83.3,64.6,1,20100521 18:00
80.5,65.1,1,20100521 19:00
77.3,65.4,1,20100521 20:00
75.1,65.5,1,20100521 21:00
73.4,65.6,1,20100521 22:00
72.1,65.6,1,20100521 23:00
71.6,65.4,1,20100522 00:00
70.3,65.7,1,20100522 01:00
69.6,65.5,1,20100522 02:00
69.2,65.4,1,20100522 03:00
68.8,65.2,1,20100522 04:00
68.4,65,1,20100522 05:00
68.8,64.9,1,20100522 06:00
70.2,65.9,1,20100522 07:00
72.8,66.4,1,20100522 08:00
75.6,66.4,1,20100522 09:00
78.1,66.1,1,20100522 10:00
80.3,65.9,1,20100522 11:00
82.1,65.3,1,20100522 12:00
83.6,65.4,1,20100522 13:00
84.6,65.3,1,20100522 14:00
85.3,65.2,1,20100522 15:00
85.5,65,1,20100522 16:00
85.1,64.8,1,20100522 17:00
83.5,64.7,1,20100522 18:00
80.8,65.2,1,20100522 19:00
77.5,65.5,1,20100522 20:00
75.3,65.6,1,20100522 21:00
73.6,65.7,1,20100522 22:00
72.3,65.8,1,20100522 23:00
71.8,65.6,1,20100523 00:00
70.5,65.9,1,20100523 01:00
69.9,65.7,1,20100523 02:00
69.4,65.6,1,20100523 03:00
69.1,65.5,1,20100523 04:00
68.7,65.3,1,20100523 05:00
69,65.2,1,20100523 06:00
70.5,66.1,1,20100523 07:00
73,66.6,1,20100523 08:00
75.9,66.6,1,20100523 09:00
78.4,66.3,1,20100523 10:00
80.5,66,1,20100523 11:00
82.4,65.5,1,20100523 12:00
83.8,65.6,1,20100523 13:00
84.8,65.5,1,20100523 14:00
85.6,65.3,1,20100523 15:00
85.8,65.1,1,20100523 16:00
85.3,64.9,1,20100523 17:00
83.7,64.8,1,20100523 18:00
81,65.3,1,20100523 19:00
77.7,65.6,1,20100523 20:00
75.5,65.7,1,20100523 21:00
73.8,65.9,1,20100523 22:00
72.6,66,1,20100523 23:00
72,65.7,1,20100524 00:00
70.7,66,1,20100524 01:00
70,65.9,1,20100524 02:00
69.6,65.8,1,20100524 03:00
69.2,65.6,1,20100524 04:00
68.8,65.4,1,20100524 05:00
69.1,65.3,1,20100524 06:00
70.5,66.2,1,20100524 07:00
73.2,66.7,1,20100524 08:00
76,66.6,1,20100524 09:00
78.5,66.3,1,20100524 10:00
80.8,66.2,1,20100524 11:00
82.6,65.6,1,20100524 12:00
84.1,65.6,1,20100524 13:00
85.2,65.5,1,20100524 14:00
85.9,65.3,1,20100524 15:00
86.1,65.1,1,20100524 16:00
85.6,65,1,20100524 17:00
84,64.9,1,20100524 18:00
81.3,65.4,1,20100524 19:00
78,65.7,1,20100524 20:00
75.9,65.8,1,20100524 21:00
74.1,66,1,20100524 22:00
72.9,66.2,1,20100524 23:00
72.2,65.9,1,20100525 00:00
70.9,66.2,1,20100525 01:00
70.2,66.1,1,20100525 02:00
69.7,65.9,1,20100525 03:00
69.3,65.8,1,20100525 04:00
68.9,65.6,1,20100525 05:00
69.2,65.5,1,20100525 06:00
70.7,66.4,1,20100525 07:00
73.3,66.8,1,20100525 08:00
76.2,66.8,1,20100525 09:00
78.7,66.6,1,20100525 10:00
81,66.3,1,20100525 11:00
83,65.8,1,20100525 12:00
84.5,65.8,1,20100525 13:00
85.5,65.6,1,20100525 14:00
86.3,65.4,1,20100525 15:00
86.4,65.2,1,20100525 16:00
86,65.1,1,20100525 17:00
84.3,65,1,20100525 18:00
81.7,65.5,1,20100525 19:00
78.4,65.8,1,20100525 20:00
76.2,66,1,20100525 21:00
74.5,66.3,1,20100525 22:00
73.2,66.5,1,20100525 23:00
72.5,66.3,1,20100526 00:00
71.2,66.5,1,20100526 01:00
70.5,66.4,1,20100526 02:00
70,66.2,1,20100526 03:00
69.6,66.1,1,20100526 04:00
69.3,66,1,20100526 05:00
69.6,65.9,1,20100526 06:00
71.1,66.8,1,20100526 07:00
73.6,67.2,1,20100526 08:00
76.6,67.3,1,20100526 09:00
79.1,67,1,20100526 10:00
81.4,66.7,1,20100526 11:00
83.4,66.2,1,20100526 12:00
84.8,66.3,1,20100526 13:00
85.9,66,1,20100526 14:00
86.6,65.8,1,20100526 15:00
86.8,65.6,1,20100526 16:00
86.3,65.5,1,20100526 17:00
84.6,65.5,1,20100526 18:00
82.1,66,1,20100526 19:00
78.8,66.3,1,20100526 20:00
76.6,66.5,1,20100526 21:00
74.8,66.7,1,20100526 22:00
73.6,66.9,1,20100526 23:00
72.9,66.7,1,20100527 00:00
71.6,66.9,1,20100527 01:00
70.9,66.8,1,20100527 02:00
70.4,66.7,1,20100527 03:00
70,66.6,1,20100527 04:00
69.7,66.5,1,20100527 05:00
70,66.4,1,20100527 06:00
71.5,67.3,1,20100527 07:00
74,67.7,1,20100527 08:00
76.9,67.7,1,20100527 09:00
79.4,67.5,1,20100527 10:00
81.7,67.3,1,20100527 11:00
83.6,66.8,1,20100527 12:00
85.1,66.8,1,20100527 13:00
86.2,66.5,1,20100527 14:00
86.9,66.2,1,20100527 15:00
87,66.1,1,20100527 16:00
86.6,66.1,1,20100527 17:00
84.9,66,1,20100527 18:00
82.3,66.5,1,20100527 19:00
79.1,66.8,1,20100527 20:00
76.9,66.9,1,20100527 21:00
75.2,67,1,20100527 22:00
73.9,67.3,1,20100527 23:00
73.2,67,1,20100528 00:00
71.9,67.2,1,20100528 01:00
71.3,67.1,1,20100528 02:00
70.7,67,1,20100528 03:00
70.3,66.9,1,20100528 04:00
70,66.8,1,20100528 05:00
70.3,66.7,1,20100528 06:00
71.8,67.6,1,20100528 07:00
74.4,68.1,1,20100528 08:00
77.2,68.1,1,20100528 09:00
79.7,67.9,1,20100528 10:00
82,67.6,1,20100528 11:00
